Municipio,Data,Precipitacao,DiaSemChuva,Mes,DiaSemana,Estacao_Seca,Municipio_Freq,Latitude,Longitude,media_focos_mes_hist,prob_fogo,risco
SANTA ISABEL,2026-06-22,0.0,5,6,0,1,0.0024432817504795,-15.200546008094864,-49.40043024932847,6.6415094339622645,0.5667123686824828,MÉDIO
SERRANÓPOLIS,2026-06-22,1.2,0,6,0,1,0.0084580817321678,-18.245444254046,-52.13858145093347,3.9432624113475176,0.5561006426470231,MÉDIO
MUTUNÓPOLIS,2026-06-22,0.0,4,6,0,1,0.0021346411425314,-13.711606278817616,-49.31418113591433,5.033898305084746,0.5506954743209859,MÉDIO
AMARALINA,2026-06-22,0.0,6,6,0,1,0.0035235238782981,-13.848529827205882,-49.56903226128027,2.5098039215686274,0.5485286693958789,MÉDIO
SANTA TEREZINHA DE GOIÁS,2026-06-22,0.0,5,6,0,1,0.0023960257722291,-14.32429478078316,-49.65930833489798,4.050847457627119,0.5465521490038006,MÉDIO
ITABERAÍ,2026-06-22,0.0,1,6,0,1,0.0036438789479047,-16.076051965486666,-49.86875528845477,3.0,0.5459184432732785,MÉDIO
SANTA HELENA DE GOIÁS,2026-06-22,0.0,1,6,0,1,0.0065552902329276,-17.809635495091406,-50.550434417318826,5.549295774647887,0.5332158683350176,MÉDIO
CAMPINORTE,2026-06-22,0.0,6,6,0,1,0.0043180150126335,-14.019192669554034,-48.931304030265736,2.239130434782609,0.5278275349495777,MÉDIO
ANICUNS,2026-06-22,0.0,1,6,0,1,0.0028693239293936,-16.386618352812665,-49.96569453715062,2.6095238095238096,0.5247916603496973,MÉDIO
NOVO PLANALTO,2026-06-22,0.0,7,6,0,1,0.0015786450234286,-13.224864863175409,-49.711211164352655,4.092307692307692,0.5245728419143427,MÉDIO
CORUMBÁ DE GOIÁS,2026-06-22,0.0,5,6,0,1,0.0013837141131455,-15.898613517797502,-48.71659334472278,2.606060606060606,0.5217019680966252,MÉDIO
GOIATUBA,2026-06-22,0.0,1,6,0,1,0.0047403653182468,-17.991078799174332,-49.72506729400575,2.75,0.5192615290006712,MÉDIO
ÁGUAS LINDAS DE GOIÁS,2026-06-22,0.0,6,6,0,1,0.0010477536427713,-15.740323677414423,-48.27077651213715,1.6349206349206349,0.5168254956571969,MÉDIO
BELA VISTA DE GOIÁS,2026-06-22,0.0,8,6,0,1,0.002201094861946,-16.95106540676648,-48.933601465935,1.6,0.5125840695294356,MÉDIO
MONTES CLAROS DE GOIÁS,2026-06-22,0.0,1,6,0,1,0.0036261579560608,-15.873326931416043,-51.59664771775818,4.019230769230769,0.5060519887171034,MÉDIO
CALDAS NOVAS,2026-06-22,0.6,0,6,0,1,0.0032953661083077,-17.728174181219167,-48.609976896734885,3.2033898305084745,0.5054901091597779,MÉDIO
ALEXÂNIA,2026-06-22,0.0,6,6,0,1,0.0011895215775226,-16.07491682926853,-48.49287370127031,1.9056603773584904,0.5031931505359531,MÉDIO
SANTA RITA DO NOVO DESTINO,2026-06-22,0.0,5,6,0,1,0.0025961253051333,-14.819117187607606,-49.03969360530454,4.5588235294117645,0.5028332182022929,MÉDIO
CEZARINA,2026-06-22,0.3,0,6,0,1,0.0010817188771388,-17.034689299189036,-49.7756844762151,1.1111111111111112,0.49993639179067795,MÉDIO
TERESINA DE GOIÁS,2026-06-22,0.0,5,6,0,1,0.0045387890360223,-13.661127323864664,-47.23879651180497,3.9615384615384617,0.49774308175083526,MÉDIO
EDÉIA,2026-06-22,0.0,1,6,0,1,0.0040093744046854,-17.509361464280108,-50.00172531667008,2.9791666666666665,0.4944266155044362,MÉDIO
ITARUMÃ,2026-06-22,0.3,0,6,0,1,0.0046421614884451,-18.86462245523424,-51.33580667861621,4.627118644067797,0.492327000967923,MÉDIO
ORIZONA,2026-06-22,0.0,1,6,0,1,0.0020201930702061,-17.02708940860277,-48.16569268300261,2.0625,0.48777869741093277,MÉDIO
ACREÚNA,2026-06-22,0.0,1,6,0,1,0.0050453140528942,-17.48826970830257,-50.32369400069289,3.42,0.48223347145384887,MÉDIO
BOM JARDIM DE GOIÁS,2026-06-22,0.8,0,6,0,1,0.006982809161162,-16.169600227866493,-52.08811808319062,3.295238095238095,0.48203011606704715,MÉDIO
HIDROLÂNDIA,2026-06-22,0.0,1,6,0,1,0.001757331691188,-17.00595303936355,-49.2631795818899,2.1594202898550723,0.48125590857731587,MÉDIO
VALPARAÍSO DE GOIÁS,2026-06-22,0.0,6,6,0,1,0.0004061060630896,-16.08965315501241,-47.98624179015667,2.023809523809524,0.4802112745280459,MÉDIO
SANTA TEREZA DE GOIÁS,2026-06-22,0.0,5,6,0,1,0.0022261996003916,-13.615351655700474,-48.99769110324295,3.5405405405405403,0.47546930412578936,MÉDIO
BOM JESUS DE GOIÁS,2026-06-22,0.0,1,6,0,1,0.0043556721203019,-18.192311694542585,-49.92073113922121,2.872727272727273,0.4741835537417626,MÉDIO
GUARANI DE GOIÁS,2026-06-22,0.0,6,6,0,1,0.0039702405476967,-13.896234842419478,-46.35992556272503,3.25,0.4608676396168144,MÉDIO
MOZARLÂNDIA,2026-06-22,0.0,5,6,0,1,0.0020120709489443,-14.81638418252236,-50.609316979892746,2.8541666666666665,0.4600944616089755,MÉDIO
CIDADE OCIDENTAL,2026-06-22,0.0,6,6,0,1,0.0009805615486965,-16.103552382328953,-47.86022791897977,1.9230769230769231,0.4598376805003435,MÉDIO
PALMEIRAS DE GOIÁS,2026-06-22,0.0,1,6,0,1,0.0026522417793057,-16.814514481269185,-49.9450199537401,2.2916666666666665,0.4553702311486195,MÉDIO
NOVO GAMA,2026-06-22,0.0,6,6,0,1,0.0008040900049175,-16.10973108267564,-48.07263803458282,1.9787234042553192,0.45219584108415806,MÉDIO
FAINA,2026-06-22,0.0,5,6,0,1,0.0040012522834236,-15.450502453569465,-50.35323063719383,2.484848484848485,0.4480638219840904,MÉDIO
